confounder,p0_baseline,delta_p,rr_ud,p1_implied,bias_factor,rd_adjusted_pp,rr_adjusted,rd_attenuation_pp
prior_cesarean_history,0.12,0.0,1.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,1.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,1.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,1.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,2.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,2.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,2.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,2.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,3.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,3.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,3.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,3.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,4.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,4.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,4.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,4.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,5.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,5.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,5.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,5.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,6.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,6.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,6.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,6.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,7.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,7.25,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,7.5,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,7.75,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.0,8.0,0.12,1.0,28.469798451314176,2.7260070309880806,7.105427357601002e-15
prior_cesarean_history,0.12,0.03,1.0,0.15,0.9999999999999999,28.469798451314187,2.726007030988081,-3.552713678800501e-15
prior_cesarean_history,0.12,0.03,1.25,0.15,1.0072815533980586,28.14475459503416,2.706300956065274,0.32504385628002197
prior_cesarean_history,0.12,0.03,1.5,0.15,1.0141509433962266,27.842388217099277,2.687969723578944,0.6274102342149064
prior_cesarean_history,0.12,0.03,1.75,0.15,1.0206422018348627,27.56040608936225,2.6708743045186583,0.9093923619519337
prior_cesarean_history,0.12,0.03,2.0,0.15,1.0267857142857144,27.29681410039068,2.654893804092739,1.1729843509235032
prior_cesarean_history,0.12,0.03,2.25,0.15,1.032608695652174,27.049870026512046,2.639922598430562,1.419928424802137
prior_cesarean_history,0.12,0.03,2.5,0.15,1.0381355932203389,26.818044977564774,2.625867997196682,1.6517534737494088
prior_cesarean_history,0.12,0.03,2.75,0.15,1.0433884297520664,26.599991713703446,2.6126483227687736,1.8698067376107375
prior_cesarean_history,0.12,0.03,3.0,0.15,1.0483870967741937,26.394518445834148,2.6001913218655535,2.0752800054800353
prior_cesarean_history,0.12,0.03,3.25,0.15,1.0531496062992127,26.200567043452832,2.5884328443774667,2.2692314078613514
prior_cesarean_history,0.12,0.03,3.5,0.15,1.057692307692308,26.017194808474137,2.57731573838873,2.452603642840046
prior_cesarean_history,0.12,0.03,3.75,0.15,1.0620300751879699,25.843559152343882,2.5667889212135555,2.626239298970301
prior_cesarean_history,0.12,0.03,4.0,0.15,1.0661764705882355,25.678904650841027,2.556806594581923,2.7908938004731567
prior_cesarean_history,0.12,0.03,4.25,0.15,1.0701438848920863,25.522552056976995,2.547327578536761,2.9472463943371885
prior_cesarean_history,0.12,0.03,4.5,0.15,1.073943661971831,25.37388893494234,2.5383147436085736,3.0959095163718438
prior_cesarean_history,0.12,0.03,4.75,0.15,1.0775862068965518,25.232361642765333,2.5297345247569387,3.23743680854885
prior_cesarean_history,0.12,0.03,5.0,0.15,1.0810810810810811,25.09746844240913,2.5215565036639744,3.3723300089050525
prior_cesarean_history,0.12,0.03,5.25,0.15,1.0844370860927155,24.96875355657306,2.513753048422596,3.501044894741124
prior_cesarean_history,0.12,0.03,5.5,0.15,1.0876623376623378,24.845802023834125,2.506299001624862,3.6239964274800585
prior_cesarean_history,0.12,0.03,5.75,0.15,1.0907643312101911,24.728235229755295,2.499171409431408,3.741563221558888
prior_cesarean_history,0.12,0.03,6.0,0.15,1.09375,24.615707012565558,2.4923492854748166,3.8540914387486254
prior_cesarean_history,0.12,0.03,6.25,0.15,1.0966257668711659,24.50790025903412,2.485813404481438,3.9618981922800636
prior_cesarean_history,0.12,0.03,6.5,0.15,1.0993975903614457,24.404523920031387,2.4795461213371035,4.065274531282796
prior_cesarean_history,0.12,0.03,6.75,0.15,1.10207100591716,24.30531038662607,2.473531212010661,4.164488064688115
prior_cesarean_history,0.12,0.03,7.0,0.15,1.1046511627906979,24.2100131769078,2.4677537333155253,4.259785274406383
prior_cesarean_history,0.12,0.03,7.25,0.15,1.1071428571428572,24.118404891436704,2.462199898956976,4.351393559877479
prior_cesarean_history,0.12,0.03,7.5,0.15,1.109550561797753,24.03027540161639,2.4568569697006493,4.439523049697794
prior_cesarean_history,0.12,0.03,7.75,0.15,1.1118784530386738,23.945430240609287,2.4517131558203364,4.524368210704896
prior_cesarean_history,0.12,0.03,8.0,0.15,1.1141304347826089,23.8636891708585,2.446757530252716,4.606109280455684
